id,name,dateStart,dateEnd,type,questionQty
4696,Мейфлауэр,2018-05-25T19:00:00+03:00,2018-05-29T19:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12}"
4697,Чемпионат Саратова,2017-12-11T14:00:00+03:00,2017-12-11T19:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 18, '2': 18}"
4698,Чемпионат Москвы. Высшая лига,2017-12-23T00:00:00+03:00,2018-04-14T14:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 12, '2': 12, '3': 12, '4': 12}"
4699,Чемпионат Москвы. Первая лига,2017-12-16T00:00:00+03:00,2018-05-19T00:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 18, '2': 18, '3': 18}"
4700,Зеркало чемпионата Эстонии среди школьников,2018-01-18T14:00:00+03:00,2018-01-22T14:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12}"
4701,"Чемпионат Ростовской области, 1 день",2018-01-19T19:00:00+03:00,2018-01-23T19:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12}"
4702,"Чемпионат Ростовской области, 2 день",2018-02-09T19:00:00+03:00,2018-02-13T19:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12}"
4703,"Чемпионат Ростовской области, 3 день",2018-03-09T19:00:00+03:00,2018-03-13T19:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12}"
4704,Кубок весей. Онлайн,2017-12-23T12:40:00+03:00,2017-12-23T15:30:00+03:00,"{'id': 6, 'name': 'Строго синхронный'}","{'1': 12, '2': 12, '3': 12}"
4705,Кубок чемпионов,2018-06-01T18:00:00+03:00,2018-06-05T18:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 15, '2': 15, '3': 15}"
4706,Синхронный кубок Хайфы,2018-02-09T19:00:00+03:00,2018-02-13T19:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 15, '2': 15, '3': 15}"
4707,Студенческая лига ЧТ,2017-09-16T00:00:00+03:00,2017-12-09T14:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 12, '2': 12, '3': 12, '4': 12, '5': 12, '6': 12, '7': 12, '8': 12, '9': 12, '10': 12, '11': 12, '12': 12}"
4708,Первая лига ЧТ,2017-09-16T00:00:00+03:00,2017-12-09T14:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 12, '2': 12, '3': 12}"
4709,Стыд и совесть честного Эйба,2018-02-09T14:00:00+03:00,2018-02-13T14:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12}"
4710,Игра в классики,2018-03-09T19:00:00+03:00,2018-03-13T19:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12}"
4711,Высшая лига ЧТ,2017-09-24T00:00:00+03:00,2017-12-17T14:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 12, '2': 12, '3': 12, '4': 12, '5': 12, '6': 12, '7': 12, '8': 12, '9': 12, '10': 12, '11': 12, '12': 12, '13': 12, '14': 12, '15': 12}"
4712,Чемпионат Беларуси,2018-03-24T14:00:00+03:00,2018-03-25T15:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 15, '2': 15, '3': 15, '4': 15, '5': 15, '6': 15}"
4713,Дзержинский марафон,2017-12-23T15:00:00+03:00,2017-12-24T15:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 15, '2': 15, '3': 15, '4': 15, '5': 15, '6': 15, '7': 15, '8': 15, '9': 15, '10': 15, '11': 15, '12': 15, '13': 15, '14': 15, '15': 15, '16': 15, '17': 15, '18': 15, '19': 15, '20': 15, '21': 15, '22': 15, '23': 15, '24': 15, '25': 15, '26': 15, '27': 15, '28': 15, '29': 15, '30': 15, '31': 15, '32': 21}"
4714,Синхрон Мишеля Матвеева,2018-03-16T14:00:00+03:00,2018-03-20T14:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 14, '2': 14, '3': 13}"
4715,Кубок Белоярской АЭС,2018-01-20T10:00:00+03:00,2018-01-20T14:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 12, '2': 12, '3': 12, '4': 12}"
4716,Кубок Мэра г. Казани,2017-12-17T10:00:00+03:00,2017-12-17T14:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 15, '2': 15, '3': 15, '4': 15}"
4717,Кубок Иолая,2018-01-19T18:00:00+03:00,2018-01-23T18:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12}"
4718,Кубок княгини Ольги,2018-06-23T11:00:00+03:00,2018-06-24T16:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 15, '2': 15, '3': 15, '4': 15, '5': 15, '6': 15}"
4719,Зеркало Кубка княгини Ольги,2018-06-23T18:00:00+03:00,2018-06-27T18:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 15, '2': 15, '3': 15}"
4720,Зеркало Кубка княгини Ольги 2,2018-06-29T18:00:00+03:00,2018-07-03T18:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 15, '2': 15, '3': 15}"
4721,Мемориал Дмитрия Коноваленко,2018-02-10T12:00:00+03:00,2018-02-10T18:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 12, '2': 12, '3': 12, '4': 12}"
4722,Синхрон Мемориала Дмитрия Коноваленко,2018-02-16T19:00:00+03:00,2018-02-20T19:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12}"
4723,Уходящая натура,2018-02-02T19:00:00+03:00,2018-02-06T19:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12}"
4724,Львов зимой,2018-01-26T20:00:00+03:00,2018-01-30T20:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 15, '2': 15, '3': 15}"
4725,Кубок ИРМ,2018-02-10T10:00:00+03:00,2018-02-10T14:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 15, '2': 15, '3': 15}"
4726,Синхрон Первенства Сибири,2018-02-24T00:00:00+03:00,2018-02-28T00:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12}"
4727,Кубок соседней галактики. Дельта,2018-02-23T14:00:00+03:00,2018-02-27T14:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 15, '2': 15, '3': 15}"
